execucao_global,run,crypto_mode,status,delivered,source,destination,path,hops,protocol,crypto_backend,crypto_algorithm,original_payload_size_bytes,protected_payload_size_bytes,payload_size_bytes,crypto_overhead_bytes,crypto_time_seconds,crypto_energy_cost,duration_seconds,total_energy_consumed,link_latency_ms,link_packet_loss_percent,link_packets_transmitted,link_packets_received,link_rtt_min_ms,link_rtt_avg_ms,link_rtt_max_ms,link_rtt_mdev_ms,erro
18,18,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.001351,0.082541,0.001906,0.622541,12.516,0.0,3,3,9.293,12.516,18.828,4.463,
19,19,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002575,0.083765,0.003648,0.623765,13.027,0.0,3,3,9.42,13.027,20.167,5.048,
20,20,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.003592,0.084782,0.004377,0.624782,13.1,0.0,3,3,9.528,13.1,20.209,5.026,
21,21,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.00271,0.0839,0.00381,0.6239,12.942,0.0,3,3,9.481,12.942,19.766,4.825,
22,22,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002805,0.083995,0.004092,0.623995,13.188,0.0,3,3,9.457,13.188,20.333,5.053,
23,23,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002802,0.083992,0.004011,0.623992,12.89,0.0,3,3,9.453,12.89,19.743,4.845,
24,24,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002878,0.084068,0.004204,0.624068,12.964,0.0,3,3,9.473,12.964,19.903,4.906,
25,25,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002881,0.084071,0.004097,0.624071,13.056,0.0,3,3,9.506,13.056,20.098,4.979,
26,26,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002874,0.084064,0.004105,0.624064,13.078,0.0,3,3,9.535,13.078,20.139,4.992,
27,27,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002501,0.083691,0.003692,0.623691,12.991,0.0,3,3,9.537,12.991,19.878,4.869,
28,28,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.002719,0.083909,0.003987,0.623909,13.014,0.0,3,3,9.559,13.014,19.894,4.864,
29,29,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.00213,0.08332,0.002954,0.62332,13.104,0.0,3,3,9.569,13.104,20.117,4.958,
30,30,pqc,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,liboqs,ML-KEM-512 + ML-DSA-44 + AES GCM,111,5455,5455,5328,0.00284,0.08403,0.003935,0.62403,12.957,0.0,3,3,9.242,12.957,20.191,5.115,
31,1,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.005745,0.089335,0.006194,0.629335,13.173,0.0,3,3,9.571,13.173,20.357,5.079,
32,2,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008572,0.092162,0.009827,0.632162,12.889,0.0,3,3,9.463,12.889,19.735,4.84,
33,3,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.006959,0.090549,0.008083,0.630549,12.859,0.0,3,3,9.51,12.859,19.547,4.728,
34,4,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.006021,0.089611,0.006446,0.629611,12.945,0.0,3,3,9.204,12.945,20.156,5.099,
35,5,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008221,0.091811,0.009427,0.631811,13.017,0.0,3,3,9.501,13.017,19.916,4.878,
36,6,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.005929,0.089519,0.006391,0.629519,12.894,0.0,3,3,9.446,12.894,19.681,4.799,
37,7,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008141,0.091731,0.009298,0.631731,12.599,0.0,3,3,9.381,12.599,18.944,4.486,
38,8,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.006167,0.089757,0.006627,0.629757,13.162,0.0,3,3,9.525,13.162,20.402,5.119,
39,9,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.010157,0.093747,0.011232,0.633747,13.011,0.0,3,3,9.393,13.011,20.042,4.972,
40,10,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.005324,0.088914,0.005781,0.628914,12.807,0.0,3,3,9.486,12.807,19.406,4.665,
